application_id,customer_id,credit_score,ltv_ratio,loan_amount,tier,interest_rate,origination_date
1000,7271,816,0.5856,904212.63,B,7.65,2022-12-18
1001,861,611,0.6582,221512.81,A,12.51,2022-04-02
1002,5391,788,0.734,624610.11,B,3.82,2023-04-11
1003,5192,711,0.592,604186.22,A,7.91,2022-08-06
1004,11965,685,0.9384,662927.72,A,4.76,2022-03-30
1005,11285,612,0.5346,947301.43,A,6.5,2022-12-19
1006,5735,622,0.5427,174222.99,C,7.86,2023-05-14
1007,6266,686,0.8072,657813.75,C,9.72,2023-02-25
1008,467,844,0.8398,190556.26,A,4.67,2023-06-16
1009,4427,805,0.9376,321158.19,A,8.32,2023-06-30
1010,5579,758,0.7387,396061.92,A,14.18,2022-03-06
1011,11637,801,0.5747,837036.96,B,9.09,2023-09-20
1012,11364,704,0.9221,63172.93,B,3.81,2023-01-31
1013,11112,746,0.9411,736315.93,A,5.36,2022-09-04
1014,8323,730,0.9156,913466.11,B,12.62,2023-09-08
1015,1686,620,0.8922,88449.42,B,6.67,2022-07-26
1016,770,614,0.5349,792822.72,B,13.19,2023-02-27
1017,10584,810,0.8847,116565.83,B,6.61,2022-09-02
1018,6950,794,0.929,963225.11,D,9.71,2022-02-05
1019,2434,680,0.7485,817211.07,C,10.03,2023-09-05
1020,5312,636,0.8477,698034.5,A,10.84,2023-09-21
1021,5052,794,0.7974,554558.88,C,11.91,2022-12-14
1022,6421,735,0.6296,921609.31,B,14.95,2022-06-14
1023,1185,643,0.7644,127880.59,A,3.08,2022-06-05
1024,4556,641,0.9002,130566.37,B,12.3,2023-06-29
1025,3386,641,0.7234,824264.62,A,12.59,2022-04-01
1026,12310,673,0.7656,487496.68,D,5.56,2023-03-04
1027,6397,605,0.7392,846605.82,A,6.3,2022-01-23
1028,11097,700,0.6271,396755.11,A,10.19,2023-03-12
1029,8667,629,0.7896,457341.62,D,5.52,2023-11-24
1030,9275,831,0.7293,338757.88,C,10.23,2023-01-17
1031,2559,615,0.6046,951230.88,D,5.17,2023-04-26
1032,7850,679,0.9029,470300.54,A,9.66,2023-01-03
1033,2048,715,0.9275,757546.1,A,12.47,2022-04-01
1034,2748,773,0.5249,698949.73,D,14.69,2022-06-01
1035,9168,800,0.7801,242736.07,C,8.3,2022-11-16
1036,9999,634,0.6868,914842.56,C,7.33,2022-06-11
1037,190,689,0.7367,549235.27,A,12.61,2023-02-11
1038,2735,728,0.6682,857247.99,B,6.18,2022-08-22
1039,3006,844,0.7135,833866.0,C,8.41,2023-03-23
1040,4659,741,0.6455,68083.27,A,5.25,2022-08-13
1041,1900,766,0.5529,623575.07,B,12.38,2022-05-26
1042,7735,708,0.6359,791094.62,A,8.02,2022-07-04
1043,1268,687,0.8016,907433.29,A,10.25,2022-11-28
1044,1529,647,0.5227,511232.73,C,4.93,2022-09-17
1045,11395,645,0.6722,753205.52,C,14.25,2023-06-02
1046,3557,723,0.519,969934.13,A,14.87,2023-05-29
1047,3891,632,0.6603,829564.0,C,7.69,2023-01-29
1048,8839,707,0.5394,855878.93,A,13.11,2023-08-22
1049,11081,786,0.6528,413209.99,A,4.74,2022-10-25
1050,5394,795,0.8771,100771.78,C,12.07,2022-02-22
1051,10628,647,0.776,966368.27,C,12.82,2023-08-21
1052,8793,641,0.807,698860.38,B,9.59,2023-03-11
1053,10556,789,0.7267,179452.35,C,9.86,2022-11-17
1054,10254,631,0.9151,974093.87,C,12.4,2022-12-12
1055,8434,695,0.7435,718628.22,D,5.98,2022-08-07
1056,10234,644,0.5469,99464.64,B,5.14,2023-07-18
1057,11017,709,0.9199,179105.33,A,11.89,2023-03-11
1058,7514,756,0.5599,866756.28,A,8.89,2023-02-20
1059,2613,742,0.9496,954294.16,A,13.64,2022-02-04
1060,7042,731,0.6959,371179.04,A,14.91,2023-04-17
1061,9556,815,0.5331,419129.27,D,13.24,2023-12-17
1062,6236,737,0.8888,401500.0,A,5.26,2022-06-13
1063,5487,685,0.5418,837002.63,C,8.33,2023-07-24
1064,7100,834,0.5785,458723.58,C,10.81,2023-02-28
1065,9671,692,0.6878,381504.65,B,6.54,2022-06-22
1066,10749,609,0.8043,625649.94,A,13.06,2023-07-08
