application_id,report_date,status,days_past_due,balance
1094,2023-03-22,Late 60,86,470031.59
24491,2023-11-18,Current,0,624858.88
2026,2025-07-13,Current,0,519251.5
3007,2023-12-21,Current,0,61101.12
21441,2023-05-15,Current,0,36931.85
18542,2024-01-13,Current,0,68430.22
24943,2024-03-08,Current,0,22159.23
1472,2022-10-28,Current,0,811818.06
19520,2024-07-17,Current,0,3664.07
21227,2025-07-22,Current,0,511326.2
10156,2023-07-11,Current,0,43149.74
15286,2022-12-01,Current,0,315097.69
4152,2024-09-12,Default,91,11887.1
15583,2024-03-17,Current,0,428430.67
23185,2024-09-23,Current,0,42881.76
12202,2023-09-06,Current,0,342727.01
22463,2022-10-12,Current,0,148340.37
18401,2023-05-05,Late 30,38,106273.01
8974,2023-08-21,Late 30,45,239194.36
12555,2023-06-11,Current,0,90118.75
2702,2023-09-08,Current,0,681864.69
15626,2025-07-04,Late 60,86,53665.45
19157,2024-12-23,Current,0,722383.82
7850,2024-01-19,Late 30,58,4533.83
2260,2024-08-30,Current,0,608337.12
21845,2024-05-10,Current,0,572036.86
16671,2023-08-21,Late 30,59,15918.53
15204,2024-02-11,Late 30,48,88558.18
8513,2022-06-21,Current,0,180632.08
8178,2025-03-30,Current,0,122504.3
14311,2023-03-15,Current,0,134088.53
2387,2024-11-27,Current,0,611269.42
24946,2024-10-31,Late 60,65,263666.99
21555,2024-06-30,Current,0,245420.72
12334,2025-08-10,Current,0,238020.74
9763,2023-11-29,Current,0,118095.16
10754,2023-02-11,Current,0,813244.92
18345,2023-05-01,Current,0,3252.66
1767,2023-05-31,Current,0,638086.34
18304,2023-10-22,Current,0,267023.54
6975,2023-05-17,Current,0,675126.7
2754,2024-04-09,Default,143,148733.27
23751,2023-06-04,Default,137,318798.7
14091,2025-01-10,Current,0,886963.17
7584,2024-04-20,Current,0,363650.9
18058,2024-02-18,Current,0,330786.84
7140,2024-08-01,Default,107,613075.07
6656,2022-06-20,Current,0,447480.85
24860,2023-02-08,Current,0,482274.74
5319,2023-02-02,Current,0,268278.19
4836,2024-11-17,Current,0,522409.22
8045,2024-12-25,Current,0,225684.19
3534,2023-02-13,Current,0,769391.59
22732,2025-09-11,Late 60,78,617851.79
10784,2024-04-03,Default,137,84750.11
8030,2024-08-24,Late 30,31,428169.51
20062,2022-09-30,Current,0,594294.98
5211,2025-10-02,Current,0,43044.78
9501,2025-04-22,Current,0,129797.73
7535,2024-03-03,Current,0,217447.17
5743,2023-12-21,Current,0,359362.4
23364,2024-12-07,Current,0,8670.05
13771,2024-03-18,Late 30,42,437618.04
10106,2023-11-05,Current,0,524740.29
11978,2024-04-30,Current,0,246673.24
18228,2025-05-22,Current,0,399957.8
5860,2023-10-08,Late 60,66,24903.07
12689,2024-06-12,Current,0,63800.52
10708,2024-04-24,Late 30,52,283503.62
11691,2022-12-24,Current,0,670629.13
21127,2022-10-09,Current,0,658278.11
14094,2025-06-26,Current,0,538223.5
19993,2024-04-19,Current,0,557555.19
16721,2023-08-06,Current,0,430371.39
22254,2024-08-25,Current,0,184683.84
25973,2023-11-22,Default,164,223244.92
17576,2024-04-22,Current,0,226511.18
8680,2024-11-19,Current,0,94077.64
9440,2023-03-22,Current,0,111593.63
20525,2024-11-22,Current,0,194241.17
7982,2023-09-09,Current,0,675873.25
3289,2023-04-25,Current,0,441922.49
11441,2024-02-29,Current,0,272578.0
2609,2024-12-24,Current,0,36604.55
